Data de Extração,Num da Comp,Palavra Pivo,Periodo,Termo Buscado,date,values
13/09/2018 19:41,1º Comparação,consul,today 1-m,brasil,2018-08-22,64
13/09/2018 19:41,1º Comparação,consul,today 1-m,brasil,2018-08-23,58
13/09/2018 19:41,1º Comparação,consul,today 1-m,brasil,2018-08-24,61
13/09/2018 19:41,1º Comparação,consul,today 1-m,brasil,2018-08-25,48
13/09/2018 19:41,1º Comparação,consul,today 1-m,brasil,2018-08-26,50
13/09/2018 19:41,1º Comparação,consul,today 1-m,brasil,2018-08-27,60
13/09/2018 19:41,1º Comparação,consul,today 1-m,brasil,2018-08-28,60
13/09/2018 19:41,1º Comparação,consul,today 1-m,brasil,2018-08-29,61
13/09/2018 19:41,1º Comparação,consul,today 1-m,brasil,2018-08-30,60
13/09/2018 19:41,1º Comparação,consul,today 1-m,brasil,2018-08-31,59
13/09/2018 19:41,1º Comparação,consul,today 1-m,brasil,2018-09-01,47
13/09/2018 19:41,1º Comparação,consul,today 1-m,brasil,2018-09-02,52
13/09/2018 19:41,1º Comparação,consul,today 1-m,brasil,2018-09-03,66
13/09/2018 19:41,1º Comparação,consul,today 1-m,brasil,2018-09-04,68
13/09/2018 19:41,1º Comparação,consul,today 1-m,brasil,2018-09-05,73
13/09/2018 19:41,1º Comparação,consul,today 1-m,brasil,2018-09-06,65
13/09/2018 19:41,1º Comparação,consul,today 1-m,brasil,2018-09-07,96
13/09/2018 19:41,1º Comparação,consul,today 1-m,brasil,2018-09-08,99
13/09/2018 19:41,1º Comparação,consul,today 1-m,brasil,2018-09-09,55
13/09/2018 19:41,1º Comparação,consul,today 1-m,brasil,2018-09-10,64
13/09/2018 19:41,1º Comparação,consul,today 1-m,brasil,2018-09-11,81
13/09/2018 19:41,1º Comparação,consul,today 1-m,geladeira,2018-08-13,4
13/09/2018 19:41,1º Comparação,consul,today 1-m,geladeira,2018-08-14,4
13/09/2018 19:41,1º Comparação,consul,today 1-m,geladeira,2018-08-15,4
13/09/2018 19:41,1º Comparação,consul,today 1-m,geladeira,2018-08-16,3
13/09/2018 19:41,1º Comparação,consul,today 1-m,geladeira,2018-08-17,3
13/09/2018 19:41,1º Comparação,consul,today 1-m,geladeira,2018-08-18,4
13/09/2018 19:41,1º Comparação,consul,today 1-m,geladeira,2018-08-19,4
13/09/2018 19:41,1º Comparação,consul,today 1-m,geladeira,2018-08-20,4
13/09/2018 19:41,1º Comparação,consul,today 1-m,geladeira,2018-08-21,4
13/09/2018 19:41,1º Comparação,consul,today 1-m,geladeira,2018-08-22,4
13/09/2018 19:41,1º Comparação,consul,today 1-m,geladeira,2018-08-23,3
