Data de Extração,Num da Comp,Palavra Pivo,Periodo,Termo Buscado,geoName,values
13/09/2018 19:41,1º Comparação,consul,today 1-m,brasil,Pará,95
13/09/2018 19:41,1º Comparação,consul,today 1-m,brasil,Pernambuco,92
13/09/2018 19:41,1º Comparação,consul,today 1-m,brasil,Piauí,94
13/09/2018 19:41,1º Comparação,consul,today 1-m,brasil,Rio Grande do Norte,93
13/09/2018 19:41,1º Comparação,consul,today 1-m,brasil,Rio Grande do Sul,91
13/09/2018 19:41,1º Comparação,consul,today 1-m,brasil,Rio de Janeiro,89
13/09/2018 19:41,1º Comparação,consul,today 1-m,brasil,Rondônia,96
13/09/2018 19:41,1º Comparação,consul,today 1-m,brasil,Roraima,96
13/09/2018 19:41,1º Comparação,consul,today 1-m,brasil,Santa Catarina,90
13/09/2018 19:41,1º Comparação,consul,today 1-m,brasil,Sergipe,93
13/09/2018 19:41,1º Comparação,consul,today 1-m,brasil,São Paulo,89
13/09/2018 19:41,1º Comparação,consul,today 1-m,brasil,Tocantins,95
13/09/2018 19:41,1º Comparação,consul,today 1-m,geladeira,Acre,3
13/09/2018 19:41,1º Comparação,consul,today 1-m,geladeira,Alagoas,4
13/09/2018 19:41,1º Comparação,consul,today 1-m,geladeira,Amapá,3
13/09/2018 19:41,1º Comparação,consul,today 1-m,geladeira,Amazonas,3
13/09/2018 19:41,1º Comparação,consul,today 1-m,geladeira,Bahia,5
13/09/2018 19:41,1º Comparação,consul,today 1-m,geladeira,Ceará,4
13/09/2018 19:41,1º Comparação,consul,today 1-m,geladeira,Distrito Federal,4
13/09/2018 19:41,1º Comparação,consul,today 1-m,geladeira,Espírito Santo,6
13/09/2018 19:41,1º Comparação,consul,today 1-m,geladeira,Goiás,6
13/09/2018 19:41,1º Comparação,consul,today 1-m,geladeira,Maranhão,3
13/09/2018 19:41,1º Comparação,consul,today 1-m,geladeira,Mato Grosso,4
13/09/2018 19:41,1º Comparação,consul,today 1-m,geladeira,Mato Grosso do Sul,4
13/09/2018 19:41,1º Comparação,consul,today 1-m,geladeira,Minas Gerais,5
13/09/2018 19:41,1º Comparação,consul,today 1-m,geladeira,Paraná,5
13/09/2018 19:41,1º Comparação,consul,today 1-m,geladeira,Paraíba,4
13/09/2018 19:41,1º Comparação,consul,today 1-m,geladeira,Pará,3
13/09/2018 19:41,1º Comparação,consul,today 1-m,geladeira,Pernambuco,5
13/09/2018 19:41,1º Comparação,consul,today 1-m,geladeira,Piauí,4
13/09/2018 19:41,1º Comparação,consul,today 1-m,geladeira,Rio Grande do Norte,4
13/09/2018 19:41,1º Comparação,consul,today 1-m,geladeira,Rio Grande do Sul,4
13/09/2018 19:41,1º Comparação,consul,today 1-m,geladeira,Rio de Janeiro,6
13/09/2018 19:41,1º Comparação,consul,today 1-m,geladeira,Rondônia,3
13/09/2018 19:41,1º Comparação,consul,today 1-m,geladeira,Roraima,2
13/09/2018 19:41,1º Comparação,consul,today 1-m,geladeira,Santa Catarina,5
13/09/2018 19:41,1º Comparação,consul,today 1-m,geladeira,Sergipe,4
13/09/2018 19:41,1º Comparação,consul,today 1-m,geladeira,São Paulo,6
13/09/2018 19:41,1º Comparação,consul,today 1-m,geladeira,Tocantins,3
