date,values,Termo Buscado,Data e Hora,Palavra Pivo,Num da Comp,Periodo
2018-07-19,92,GELADEIRA,17/08/2018 15:31,GELADEIRA,1º,today 1-m
2018-07-20,83,GELADEIRA,17/08/2018 15:31,GELADEIRA,1º,today 1-m
2018-07-21,98,GELADEIRA,17/08/2018 15:31,GELADEIRA,1º,today 1-m
2018-07-22,95,GELADEIRA,17/08/2018 15:31,GELADEIRA,1º,today 1-m
2018-07-23,88,GELADEIRA,17/08/2018 15:31,GELADEIRA,1º,today 1-m
2018-07-24,95,GELADEIRA,17/08/2018 15:31,GELADEIRA,1º,today 1-m
2018-07-25,91,GELADEIRA,17/08/2018 15:31,GELADEIRA,1º,today 1-m
2018-07-26,85,GELADEIRA,17/08/2018 15:31,GELADEIRA,1º,today 1-m
2018-07-27,82,GELADEIRA,17/08/2018 15:31,GELADEIRA,1º,today 1-m
2018-07-28,100,GELADEIRA,17/08/2018 15:31,GELADEIRA,1º,today 1-m
2018-07-29,100,GELADEIRA,17/08/2018 15:31,GELADEIRA,1º,today 1-m
2018-07-30,93,GELADEIRA,17/08/2018 15:31,GELADEIRA,1º,today 1-m
2018-07-31,88,GELADEIRA,17/08/2018 15:31,GELADEIRA,1º,today 1-m
2018-08-01,87,GELADEIRA,17/08/2018 15:31,GELADEIRA,1º,today 1-m
2018-08-02,89,GELADEIRA,17/08/2018 15:31,GELADEIRA,1º,today 1-m
2018-08-03,85,GELADEIRA,17/08/2018 15:31,GELADEIRA,1º,today 1-m
2018-08-04,98,GELADEIRA,17/08/2018 15:31,GELADEIRA,1º,today 1-m
2018-08-05,100,GELADEIRA,17/08/2018 15:31,GELADEIRA,1º,today 1-m
2018-08-06,88,GELADEIRA,17/08/2018 15:31,GELADEIRA,1º,today 1-m
2018-08-07,87,GELADEIRA,17/08/2018 15:31,GELADEIRA,1º,today 1-m
2018-08-08,88,GELADEIRA,17/08/2018 15:31,GELADEIRA,1º,today 1-m
2018-08-09,81,GELADEIRA,17/08/2018 15:31,GELADEIRA,1º,today 1-m
2018-08-10,79,GELADEIRA,17/08/2018 15:31,GELADEIRA,1º,today 1-m
2018-08-11,93,GELADEIRA,17/08/2018 15:31,GELADEIRA,1º,today 1-m
2018-08-12,87,GELADEIRA,17/08/2018 15:31,GELADEIRA,1º,today 1-m
2018-08-13,90,GELADEIRA,17/08/2018 15:31,GELADEIRA,1º,today 1-m
2018-08-14,93,GELADEIRA,17/08/2018 15:31,GELADEIRA,1º,today 1-m
2018-08-15,86,GELADEIRA,17/08/2018 15:31,GELADEIRA,1º,today 1-m
2018-07-17,60,FOGÃO,17/08/2018 15:31,GELADEIRA,1º,today 1-m
2018-07-18,59,FOGÃO,17/08/2018 15:31,GELADEIRA,1º,today 1-m
2018-07-19,58,FOGÃO,17/08/2018 15:31,GELADEIRA,1º,today 1-m
2018-07-20,49,FOGÃO,17/08/2018 15:31,GELADEIRA,1º,today 1-m
2018-07-21,62,FOGÃO,17/08/2018 15:31,GELADEIRA,1º,today 1-m
2018-07-22,70,FOGÃO,17/08/2018 15:31,GELADEIRA,1º,today 1-m
2018-07-23,60,FOGÃO,17/08/2018 15:31,GELADEIRA,1º,today 1-m
2018-07-24,62,FOGÃO,17/08/2018 15:31,GELADEIRA,1º,today 1-m
2018-07-25,55,FOGÃO,17/08/2018 15:31,GELADEIRA,1º,today 1-m
2018-07-26,56,FOGÃO,17/08/2018 15:31,GELADEIRA,1º,today 1-m
2018-07-27,56,FOGÃO,17/08/2018 15:31,GELADEIRA,1º,today 1-m
2018-07-28,62,FOGÃO,17/08/2018 15:31,GELADEIRA,1º,today 1-m
2018-07-29,70,FOGÃO,17/08/2018 15:31,GELADEIRA,1º,today 1-m
2018-07-30,60,FOGÃO,17/08/2018 15:31,GELADEIRA,1º,today 1-m
2018-07-31,57,FOGÃO,17/08/2018 15:31,GELADEIRA,1º,today 1-m
2018-08-01,52,FOGÃO,17/08/2018 15:31,GELADEIRA,1º,today 1-m
2018-08-02,56,FOGÃO,17/08/2018 15:31,GELADEIRA,1º,today 1-m
2018-08-03,54,FOGÃO,17/08/2018 15:31,GELADEIRA,1º,today 1-m
2018-08-04,63,FOGÃO,17/08/2018 15:31,GELADEIRA,1º,today 1-m
2018-08-05,70,FOGÃO,17/08/2018 15:31,GELADEIRA,1º,today 1-m
2018-08-06,59,FOGÃO,17/08/2018 15:31,GELADEIRA,1º,today 1-m
2018-08-07,55,FOGÃO,17/08/2018 15:31,GELADEIRA,1º,today 1-m
2018-08-08,53,FOGÃO,17/08/2018 15:31,GELADEIRA,1º,today 1-m
2018-08-09,53,FOGÃO,17/08/2018 15:31,GELADEIRA,1º,today 1-m
2018-08-10,51,FOGÃO,17/08/2018 15:31,GELADEIRA,1º,today 1-m
2018-08-11,58,FOGÃO,17/08/2018 15:31,GELADEIRA,1º,today 1-m
2018-08-12,59,FOGÃO,17/08/2018 15:31,GELADEIRA,1º,today 1-m
2018-08-13,55,FOGÃO,17/08/2018 15:31,GELADEIRA,1º,today 1-m
2018-08-14,55,FOGÃO,17/08/2018 15:31,GELADEIRA,1º,today 1-m
2018-08-15,52,FOGÃO,17/08/2018 15:31,GELADEIRA,1º,today 1-m
