Top,Assuntos Relacionadas,Values,Tipo,Termo Buscado,Data de Extração,Periodo
10,Forno,6,Assunto,BRASTEMP,22/08/2018 12:29,all
11,Electrolux,5,Assunto,BRASTEMP,22/08/2018 12:29,all
12,Fogão,4,Assunto,BRASTEMP,22/08/2018 12:29,all
13,Máquina de lavar louça,4,Assunto,BRASTEMP,22/08/2018 12:29,all
14,Pontofrio,3,Empresa,BRASTEMP,22/08/2018 12:29,all
15,Secadora de roupas,2,Assunto,BRASTEMP,22/08/2018 12:29,all
16,Técnica,2,Assunto,BRASTEMP,22/08/2018 12:29,all
17,Gás,2,Assunto,BRASTEMP,22/08/2018 12:29,all
18,Buscapé,2,Assunto,BRASTEMP,22/08/2018 12:29,all
19,Cônsul,2,Assunto,BRASTEMP,22/08/2018 12:29,all
20,Ricardo Eletro,2,Empresa,BRASTEMP,22/08/2018 12:29,all
21,Forno Elétrico,2,Assunto,BRASTEMP,22/08/2018 12:29,all
22,Quilograma,2,Unidade básica,BRASTEMP,22/08/2018 12:29,all
23,Consul,2,Assunto,BRASTEMP,22/08/2018 12:29,all
24,Manual de instruções,2,Assunto,BRASTEMP,22/08/2018 12:29,all
0,Cônsul,100,Assunto,CONSUL,22/08/2018 12:29,all
1,Consul,51,Assunto,CONSUL,22/08/2018 12:29,all
2,Refrigerador,49,Assunto,CONSUL,22/08/2018 12:29,all
3,Ar,25,Assunto,CONSUL,22/08/2018 12:29,all
4,Ar-condicionado,20,Assunto,CONSUL,22/08/2018 12:29,all
5,Máquina de lavar roupa,19,Assunto,CONSUL,22/08/2018 12:29,all
6,Litro,15,Unidade de medida,CONSUL,22/08/2018 12:29,all
7,Fogão,15,Assunto,CONSUL,22/08/2018 12:29,all
8,Máquina,14,Assunto,CONSUL,22/08/2018 12:29,all
9,Brastemp,12,Empresa,CONSUL,22/08/2018 12:29,all
10,lavar,12,Assunto,CONSUL,22/08/2018 12:29,all
11,Unidade de tratamento de ar,9,Assunto,CONSUL,22/08/2018 12:29,all
12,Forno de micro-ondas,8,Assunto,CONSUL,22/08/2018 12:29,all
13,BTU,8,Unidade de medida,CONSUL,22/08/2018 12:29,all
14,Aço inoxidável,7,Assunto,CONSUL,22/08/2018 12:29,all
15,Electrolux,7,Assunto,CONSUL,22/08/2018 12:29,all
16,Frio,5,Assunto,CONSUL,22/08/2018 12:29,all
17,Pontofrio,5,Empresa,CONSUL,22/08/2018 12:29,all
18,Forno,5,Assunto,CONSUL,22/08/2018 12:29,all
19,Fábrica de cerveja,4,Assunto,CONSUL,22/08/2018 12:29,all
