geoName,values,Termo Buscado,Data e Hora,Palavra Pivo,Num da Comp,Periodo
Acre,79,GELADEIRA,15/08/2018 18:10,GELADEIRA,1º,today 1-m
Alagoas,93,GELADEIRA,15/08/2018 18:10,GELADEIRA,1º,today 1-m
Amapá,97,GELADEIRA,15/08/2018 18:10,GELADEIRA,1º,today 1-m
Amazonas,95,GELADEIRA,15/08/2018 18:10,GELADEIRA,1º,today 1-m
Bahia,88,GELADEIRA,15/08/2018 18:10,GELADEIRA,1º,today 1-m
Ceará,84,GELADEIRA,15/08/2018 18:10,GELADEIRA,1º,today 1-m
Distrito Federal,86,GELADEIRA,15/08/2018 18:10,GELADEIRA,1º,today 1-m
Espírito Santo,86,GELADEIRA,15/08/2018 18:10,GELADEIRA,1º,today 1-m
Goiás,90,GELADEIRA,15/08/2018 18:10,GELADEIRA,1º,today 1-m
Maranhão,84,GELADEIRA,15/08/2018 18:10,GELADEIRA,1º,today 1-m
Mato Grosso,95,GELADEIRA,15/08/2018 18:10,GELADEIRA,1º,today 1-m
Mato Grosso do Sul,93,GELADEIRA,15/08/2018 18:10,GELADEIRA,1º,today 1-m
Minas Gerais,86,GELADEIRA,15/08/2018 18:10,GELADEIRA,1º,today 1-m
Paraná,86,GELADEIRA,15/08/2018 18:10,GELADEIRA,1º,today 1-m
Paraíba,81,GELADEIRA,15/08/2018 18:10,GELADEIRA,1º,today 1-m
Pará,97,GELADEIRA,15/08/2018 18:10,GELADEIRA,1º,today 1-m
Pernambuco,79,GELADEIRA,15/08/2018 18:10,GELADEIRA,1º,today 1-m
Piauí,88,GELADEIRA,15/08/2018 18:10,GELADEIRA,1º,today 1-m
Rio Grande do Norte,86,GELADEIRA,15/08/2018 18:10,GELADEIRA,1º,today 1-m
Rio Grande do Sul,70,GELADEIRA,15/08/2018 18:10,GELADEIRA,1º,today 1-m
Rio de Janeiro,84,GELADEIRA,15/08/2018 18:10,GELADEIRA,1º,today 1-m
Rondônia,90,GELADEIRA,15/08/2018 18:10,GELADEIRA,1º,today 1-m
Roraima,97,GELADEIRA,15/08/2018 18:10,GELADEIRA,1º,today 1-m
Santa Catarina,79,GELADEIRA,15/08/2018 18:10,GELADEIRA,1º,today 1-m
Sergipe,88,GELADEIRA,15/08/2018 18:10,GELADEIRA,1º,today 1-m
São Paulo,84,GELADEIRA,15/08/2018 18:10,GELADEIRA,1º,today 1-m
Tocantins,100,GELADEIRA,15/08/2018 18:10,GELADEIRA,1º,today 1-m
Acre,43,FOGÃO,15/08/2018 18:10,GELADEIRA,1º,today 1-m
Alagoas,47,FOGÃO,15/08/2018 18:10,GELADEIRA,1º,today 1-m
Amapá,45,FOGÃO,15/08/2018 18:10,GELADEIRA,1º,today 1-m
Amazonas,40,FOGÃO,15/08/2018 18:10,GELADEIRA,1º,today 1-m
Bahia,52,FOGÃO,15/08/2018 18:10,GELADEIRA,1º,today 1-m
Ceará,45,FOGÃO,15/08/2018 18:10,GELADEIRA,1º,today 1-m
Distrito Federal,52,FOGÃO,15/08/2018 18:10,GELADEIRA,1º,today 1-m
Espírito Santo,54,FOGÃO,15/08/2018 18:10,GELADEIRA,1º,today 1-m
Goiás,56,FOGÃO,15/08/2018 18:10,GELADEIRA,1º,today 1-m
Maranhão,40,FOGÃO,15/08/2018 18:10,GELADEIRA,1º,today 1-m
Mato Grosso,45,FOGÃO,15/08/2018 18:10,GELADEIRA,1º,today 1-m
Mato Grosso do Sul,54,FOGÃO,15/08/2018 18:10,GELADEIRA,1º,today 1-m
Minas Gerais,59,FOGÃO,15/08/2018 18:10,GELADEIRA,1º,today 1-m
Paraná,56,FOGÃO,15/08/2018 18:10,GELADEIRA,1º,today 1-m
Paraíba,52,FOGÃO,15/08/2018 18:10,GELADEIRA,1º,today 1-m
Pará,38,FOGÃO,15/08/2018 18:10,GELADEIRA,1º,today 1-m
Pernambuco,47,FOGÃO,15/08/2018 18:10,GELADEIRA,1º,today 1-m
Piauí,31,FOGÃO,15/08/2018 18:10,GELADEIRA,1º,today 1-m
Rio Grande do Norte,47,FOGÃO,15/08/2018 18:10,GELADEIRA,1º,today 1-m
Rio Grande do Sul,59,FOGÃO,15/08/2018 18:10,GELADEIRA,1º,today 1-m
Rio de Janeiro,52,FOGÃO,15/08/2018 18:10,GELADEIRA,1º,today 1-m
Rondônia,50,FOGÃO,15/08/2018 18:10,GELADEIRA,1º,today 1-m
Roraima,45,FOGÃO,15/08/2018 18:10,GELADEIRA,1º,today 1-m
Santa Catarina,54,FOGÃO,15/08/2018 18:10,GELADEIRA,1º,today 1-m
Sergipe,45,FOGÃO,15/08/2018 18:10,GELADEIRA,1º,today 1-m
São Paulo,52,FOGÃO,15/08/2018 18:10,GELADEIRA,1º,today 1-m
Tocantins,38,FOGÃO,15/08/2018 18:10,GELADEIRA,1º,today 1-m
Acre,47,VENTILADOR,15/08/2018 18:10,GELADEIRA,1º,today 1-m
Alagoas,18,VENTILADOR,15/08/2018 18:10,GELADEIRA,1º,today 1-m
Amapá,36,VENTILADOR,15/08/2018 18:10,GELADEIRA,1º,today 1-m
Amazonas,38,VENTILADOR,15/08/2018 18:10,GELADEIRA,1º,today 1-m
Bahia,13,VENTILADOR,15/08/2018 18:10,GELADEIRA,1º,today 1-m
Ceará,25,VENTILADOR,15/08/2018 18:10,GELADEIRA,1º,today 1-m
Distrito Federal,9,VENTILADOR,15/08/2018 18:10,GELADEIRA,1º,today 1-m
Espírito Santo,20,VENTILADOR,15/08/2018 18:10,GELADEIRA,1º,today 1-m
Goiás,11,VENTILADOR,15/08/2018 18:10,GELADEIRA,1º,today 1-m
Maranhão,27,VENTILADOR,15/08/2018 18:10,GELADEIRA,1º,today 1-m
Mato Grosso,27,VENTILADOR,15/08/2018 18:10,GELADEIRA,1º,today 1-m
Mato Grosso do Sul,15,VENTILADOR,15/08/2018 18:10,GELADEIRA,1º,today 1-m
Minas Gerais,9,VENTILADOR,15/08/2018 18:10,GELADEIRA,1º,today 1-m
Paraná,6,VENTILADOR,15/08/2018 18:10,GELADEIRA,1º,today 1-m
Paraíba,13,VENTILADOR,15/08/2018 18:10,GELADEIRA,1º,today 1-m
Pará,36,VENTILADOR,15/08/2018 18:10,GELADEIRA,1º,today 1-m
Pernambuco,18,VENTILADOR,15/08/2018 18:10,GELADEIRA,1º,today 1-m
Piauí,29,VENTILADOR,15/08/2018 18:10,GELADEIRA,1º,today 1-m
Rio Grande do Norte,20,VENTILADOR,15/08/2018 18:10,GELADEIRA,1º,today 1-m
Rio Grande do Sul,6,VENTILADOR,15/08/2018 18:10,GELADEIRA,1º,today 1-m
Rio de Janeiro,18,VENTILADOR,15/08/2018 18:10,GELADEIRA,1º,today 1-m
Rondônia,27,VENTILADOR,15/08/2018 18:10,GELADEIRA,1º,today 1-m
Roraima,27,VENTILADOR,15/08/2018 18:10,GELADEIRA,1º,today 1-m
Santa Catarina,4,VENTILADOR,15/08/2018 18:10,GELADEIRA,1º,today 1-m
Sergipe,13,VENTILADOR,15/08/2018 18:10,GELADEIRA,1º,today 1-m
São Paulo,9,VENTILADOR,15/08/2018 18:10,GELADEIRA,1º,today 1-m
Tocantins,25,VENTILADOR,15/08/2018 18:10,GELADEIRA,1º,today 1-m
Acre,9,CONSUL,15/08/2018 18:10,GELADEIRA,1º,today 1-m
Alagoas,29,CONSUL,15/08/2018 18:10,GELADEIRA,1º,today 1-m
Amapá,31,CONSUL,15/08/2018 18:10,GELADEIRA,1º,today 1-m
Amazonas,27,CONSUL,15/08/2018 18:10,GELADEIRA,1º,today 1-m
Bahia,31,CONSUL,15/08/2018 18:10,GELADEIRA,1º,today 1-m
Ceará,31,CONSUL,15/08/2018 18:10,GELADEIRA,1º,today 1-m
