date,values,Termo Buscado,Data e Hora,Palavra Pivo,Num da Comp,Periodo
2018-08-18,59,FOGÃO,23/08/2018 11:40,GELADEIRA,1º Comparação,today 1-m
2018-08-19,59,FOGÃO,23/08/2018 11:40,GELADEIRA,1º Comparação,today 1-m
2018-08-20,55,FOGÃO,23/08/2018 11:40,GELADEIRA,1º Comparação,today 1-m
2018-08-21,54,FOGÃO,23/08/2018 11:40,GELADEIRA,1º Comparação,today 1-m
2018-07-23,17,VENTILADOR,23/08/2018 11:40,GELADEIRA,1º Comparação,today 1-m
2018-07-24,16,VENTILADOR,23/08/2018 11:40,GELADEIRA,1º Comparação,today 1-m
2018-07-25,16,VENTILADOR,23/08/2018 11:40,GELADEIRA,1º Comparação,today 1-m
2018-07-26,15,VENTILADOR,23/08/2018 11:40,GELADEIRA,1º Comparação,today 1-m
2018-07-27,18,VENTILADOR,23/08/2018 11:40,GELADEIRA,1º Comparação,today 1-m
2018-07-28,16,VENTILADOR,23/08/2018 11:40,GELADEIRA,1º Comparação,today 1-m
2018-07-29,18,VENTILADOR,23/08/2018 11:40,GELADEIRA,1º Comparação,today 1-m
2018-07-30,17,VENTILADOR,23/08/2018 11:40,GELADEIRA,1º Comparação,today 1-m
2018-07-31,15,VENTILADOR,23/08/2018 11:40,GELADEIRA,1º Comparação,today 1-m
2018-08-01,16,VENTILADOR,23/08/2018 11:40,GELADEIRA,1º Comparação,today 1-m
2018-08-02,15,VENTILADOR,23/08/2018 11:40,GELADEIRA,1º Comparação,today 1-m
2018-08-03,17,VENTILADOR,23/08/2018 11:40,GELADEIRA,1º Comparação,today 1-m
2018-08-04,16,VENTILADOR,23/08/2018 11:40,GELADEIRA,1º Comparação,today 1-m
2018-08-05,16,VENTILADOR,23/08/2018 11:40,GELADEIRA,1º Comparação,today 1-m
2018-08-06,15,VENTILADOR,23/08/2018 11:40,GELADEIRA,1º Comparação,today 1-m
2018-08-07,16,VENTILADOR,23/08/2018 11:40,GELADEIRA,1º Comparação,today 1-m
2018-08-08,17,VENTILADOR,23/08/2018 11:40,GELADEIRA,1º Comparação,today 1-m
2018-08-09,18,VENTILADOR,23/08/2018 11:40,GELADEIRA,1º Comparação,today 1-m
2018-08-10,15,VENTILADOR,23/08/2018 11:40,GELADEIRA,1º Comparação,today 1-m
2018-08-11,15,VENTILADOR,23/08/2018 11:40,GELADEIRA,1º Comparação,today 1-m
2018-08-12,14,VENTILADOR,23/08/2018 11:40,GELADEIRA,1º Comparação,today 1-m
2018-08-13,18,VENTILADOR,23/08/2018 11:40,GELADEIRA,1º Comparação,today 1-m
2018-08-14,18,VENTILADOR,23/08/2018 11:40,GELADEIRA,1º Comparação,today 1-m
2018-08-15,16,VENTILADOR,23/08/2018 11:40,GELADEIRA,1º Comparação,today 1-m
2018-08-16,13,VENTILADOR,23/08/2018 11:40,GELADEIRA,1º Comparação,today 1-m
2018-08-17,14,VENTILADOR,23/08/2018 11:40,GELADEIRA,1º Comparação,today 1-m
2018-08-18,17,VENTILADOR,23/08/2018 11:40,GELADEIRA,1º Comparação,today 1-m
2018-08-19,14,VENTILADOR,23/08/2018 11:40,GELADEIRA,1º Comparação,today 1-m
2018-08-20,17,VENTILADOR,23/08/2018 11:40,GELADEIRA,1º Comparação,today 1-m
2018-08-21,16,VENTILADOR,23/08/2018 11:40,GELADEIRA,1º Comparação,today 1-m
2018-07-23,57,BRASTEMP,23/08/2018 11:40,GELADEIRA,1º Comparação,today 1-m
2018-07-24,52,BRASTEMP,23/08/2018 11:40,GELADEIRA,1º Comparação,today 1-m
2018-07-25,50,BRASTEMP,23/08/2018 11:40,GELADEIRA,1º Comparação,today 1-m
2018-07-26,45,BRASTEMP,23/08/2018 11:40,GELADEIRA,1º Comparação,today 1-m
2018-07-27,47,BRASTEMP,23/08/2018 11:40,GELADEIRA,1º Comparação,today 1-m
2018-07-28,55,BRASTEMP,23/08/2018 11:40,GELADEIRA,1º Comparação,today 1-m
2018-07-29,54,BRASTEMP,23/08/2018 11:40,GELADEIRA,1º Comparação,today 1-m
2018-07-30,61,BRASTEMP,23/08/2018 11:40,GELADEIRA,1º Comparação,today 1-m
2018-07-31,53,BRASTEMP,23/08/2018 11:40,GELADEIRA,1º Comparação,today 1-m
2018-08-01,50,BRASTEMP,23/08/2018 11:40,GELADEIRA,1º Comparação,today 1-m
2018-08-02,51,BRASTEMP,23/08/2018 11:40,GELADEIRA,1º Comparação,today 1-m
2018-08-03,52,BRASTEMP,23/08/2018 11:40,GELADEIRA,1º Comparação,today 1-m
2018-08-04,53,BRASTEMP,23/08/2018 11:40,GELADEIRA,1º Comparação,today 1-m
2018-08-05,55,BRASTEMP,23/08/2018 11:40,GELADEIRA,1º Comparação,today 1-m
2018-08-06,57,BRASTEMP,23/08/2018 11:40,GELADEIRA,1º Comparação,today 1-m
2018-08-07,52,BRASTEMP,23/08/2018 11:40,GELADEIRA,1º Comparação,today 1-m
2018-08-08,50,BRASTEMP,23/08/2018 11:40,GELADEIRA,1º Comparação,today 1-m
2018-08-09,49,BRASTEMP,23/08/2018 11:40,GELADEIRA,1º Comparação,today 1-m
2018-08-10,50,BRASTEMP,23/08/2018 11:40,GELADEIRA,1º Comparação,today 1-m
2018-08-11,54,BRASTEMP,23/08/2018 11:40,GELADEIRA,1º Comparação,today 1-m
2018-08-12,43,BRASTEMP,23/08/2018 11:40,GELADEIRA,1º Comparação,today 1-m
2018-08-13,59,BRASTEMP,23/08/2018 11:40,GELADEIRA,1º Comparação,today 1-m
2018-08-14,55,BRASTEMP,23/08/2018 11:40,GELADEIRA,1º Comparação,today 1-m
2018-08-15,55,BRASTEMP,23/08/2018 11:40,GELADEIRA,1º Comparação,today 1-m
2018-08-16,44,BRASTEMP,23/08/2018 11:40,GELADEIRA,1º Comparação,today 1-m
2018-08-17,51,BRASTEMP,23/08/2018 11:40,GELADEIRA,1º Comparação,today 1-m
2018-08-18,48,BRASTEMP,23/08/2018 11:40,GELADEIRA,1º Comparação,today 1-m
2018-08-19,51,BRASTEMP,23/08/2018 11:40,GELADEIRA,1º Comparação,today 1-m
2018-08-20,52,BRASTEMP,23/08/2018 11:40,GELADEIRA,1º Comparação,today 1-m
2018-08-21,50,BRASTEMP,23/08/2018 11:40,GELADEIRA,1º Comparação,today 1-m
2018-07-23,33,CONSUL,23/08/2018 11:40,GELADEIRA,1º Comparação,today 1-m
2018-07-24,32,CONSUL,23/08/2018 11:40,GELADEIRA,1º Comparação,today 1-m
2018-07-25,30,CONSUL,23/08/2018 11:40,GELADEIRA,1º Comparação,today 1-m
